id,context,prompt,speaker_utterance,listener_utterance,exchange_number,s_word_len,l_word_len,empathy,,
hit:88_conv:176,afraid,I think my job will lay us off.,I think our job might be laying us off.,O No! Are they going to offer you any kind of package?,1,9,12,3,,
hit:88_conv:176,afraid,I think my job will lay us off.,Doubtful honestly.. they dont seem to care very much. :/,Im sorry to hear that. Maybe you should contact your HR and see what your options are,2,10,17,3,,
hit:4766_conv:9533,ashamed,I lied to my wife,So i feel very horrible because i lied to my wife the other day,oh no_comma_ that is bad :( what did you lie about?,1,14,11,3,,
hit:4766_conv:9533,ashamed,I lied to my wife,She asked me not to give our baby anything sugary before going to sleep and she went to take a shower and my son really wanted the cookie i was eating so i gave it to him. he had hard time falling asleep,that is not good :( so i bet your wife asked you if you give him something and you said no? you should tell her,2,43,25,3,,
hit:12351_conv:24703,sad,My friend's grandmother passed away and I felt this way.,My best friend's grandmother passed away.,Oh my_comma_ sorry to hear that. How is he holding up?,1,6,11,3,,
hit:12351_conv:24703,sad,My friend's grandmother passed away and I felt this way.,Doing okay_comma_ just a lot to process.,I am sure it is. Just need to give him time and support right now.,2,7,15,3,,
hit:2940_conv:5880,disgusted,I had eggs for breakfast this morning. I don't think I cooked the eggs enough and the yolk was raw_comma_ I felt like vomiting.,I had eggs for breakfast this morning. I do not think I cooked the eggs enough and the yolk was raw_comma_ I felt like vomiting.,Oh no_comma_ that is the worst to spend time cooking something and then taking a bite and it is awful.,1,25,20,1,,
hit:2940_conv:5880,disgusted,I had eggs for breakfast this morning. I don't think I cooked the eggs enough and the yolk was raw_comma_ I felt like vomiting.,I could have gotten sick. It was so disgusting..,I have done it before so I feel your pain.,2,9,10,1,,
hit:11035_conv:22071,furious,My neighbour dog is very agresisive towards other female dogs,My neighbor was walking her dog the other day who she knows is aggressive towards other female dogs. She allowed her dog off leash to run up to my dog and they got in a fight.,Were either of the dogs hurt?,1,36,6,2,,
hit:11035_conv:22071,furious,My neighbour dog is very agresisive towards other female dogs,Thankfully my dog was able to defend herself against the attack. They were both shaken up but not hurt. I was so mad at my neighbor for being careless,Your neighbor is very careless. Thankfully no one got hurt,2,29,10,2,,
hit:5304_conv:10609,disappointed,Super upset with a company I thought was trustworthy.,Super upset with a company I thought was trustworthy.,Why what did they do to betray your trust?,1,9,9,1,,
hit:5304_conv:10609,disappointed,Super upset with a company I thought was trustworthy.,Well I looked up reviews..I did not see anything bad in my FB groups about them either..and they decided to charge me early and did not want to refund me!,I would be so mad I dislike when company's charge my card did you call to get a refund for the charge?,2,30,22,1,,
hit:5304_conv:10609,disappointed,Super upset with a company I thought was trustworthy.,They had NO number_comma_ support was super rude but finally refunded me..not without a lot of threats though :/,I would make a complaint and try contacting the BBB that is so unfair or even get your bank to dispute the charge.,3,19,23,1,,
hit:3896_conv:7793,embarrassed,I once walked around all day with toilet paper on my shoe. I couldn't believe my luck.,I once walked around school campus and found toilet paper on my shoe. It had been hours since I was in the restroom last.,Oh no_comma_ did anyone notice,1,24,5,1,,
hit:3896_conv:7793,embarrassed,I once walked around all day with toilet paper on my shoe. I couldn't believe my luck.,I hope not! I went to classes and ate food all while having this paper tail.,I am sure no one noticed,2,16,6,1,,
hit:2259_conv:4519,confident,I was pretty sure I was going to get a good grade on my paper,I was pretty sure I was going to get a good grade on my paper,"""was"" pretty sure ?",1,15,4,1,,
hit:2259_conv:4519,confident,I was pretty sure I was going to get a good grade on my paper,I got a good grade but I ended up failing the class,I am sorry to hear that.,2,12,6,1,,
hit:11044_conv:22088,disappointed,One time there was a movie I wanted to see that had really good reviews. I went to see it and it was not very good at all,I just saw a movie I had been looking forward to and it was terrible,What movie was it? Is it currently in theaters?,1,15,9,1,,
